time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.624996,-0.092774,-0.115971,0.068266,0.052255,0.016363,0.050846,-0.062860,0.115654,-0.031824,0.014538,0.107584,-0.107584
0.629995,-0.090120,-0.116550,0.069232,0.053298,0.015981,0.048982,-0.065481,0.116781,-0.031250,0.015689,0.107632,-0.107632
0.634995,-0.088329,-0.116485,0.070388,0.051743,0.012697,0.048604,-0.066451,0.120895,-0.030063,0.017173,0.107703,-0.107703
0.639995,-0.089376,-0.116698,0.069809,0.051250,0.014085,0.051263,-0.064935,0.118156,-0.030569,0.018967,0.107751,-0.107751
0.644995,-0.088958,-0.119150,0.069863,0.049425,0.015686,0.053893,-0.064243,0.120230,-0.030581,0.019532,0.107822,-0.107822
0.649995,-0.089800,-0.122743,0.069497,0.047604,0.015815,0.054752,-0.065099,0.119430,-0.032532,0.020409,0.107869,-0.107869
0.654995,-0.091572,-0.125644,0.069939,0.047163,0.016291,0.053904,-0.064245,0.123511,-0.030648,0.022438,0.107940,-0.107940
0.659995,-0.090462,-0.127656,0.069121,0.047701,0.014019,0.053862,-0.064527,0.124090,-0.032942,0.022614,0.107987,-0.107987
0.664995,-0.088555,-0.126258,0.068804,0.047974,0.013327,0.049422,-0.065682,0.125531,-0.033916,0.020942,0.108058,-0.108058
0.669995,-0.087345,-0.128589,0.066886,0.047838,0.014255,0.048932,-0.067705,0.126797,-0.035129,0.019807,0.108105,-0.108105
0.674995,-0.089241,-0.129413,0.063779,0.048002,0.014508,0.048678,-0.067409,0.125604,-0.036182,0.021073,0.108176,-0.108176
0.679995,-0.090407,-0.130722,0.064664,0.046715,0.015212,0.051098,-0.067008,0.125095,-0.035959,0.020950,0.108223,-0.108223
0.684995,-0.089817,-0.129619,0.062440,0.047419,0.012991,0.050280,-0.065152,0.128234,-0.036099,0.020261,0.108294,-0.108294
0.689995,-0.088770,-0.128545,0.062425,0.046289,0.012954,0.049802,-0.066509,0.128868,-0.033351,0.020134,0.108342,-0.108342
0.694995,-0.090107,-0.132442,0.061339,0.046619,0.011957,0.049809,-0.067177,0.132122,-0.034626,0.023367,0.108413,-0.108413
0.699995,-0.088835,-0.134686,0.059657,0.048925,0.012072,0.052338,-0.069908,0.131707,-0.033527,0.024839,0.108461,-0.108461
0.704994,-0.086879,-0.135009,0.061936,0.048763,0.011610,0.051204,-0.071964,0.134955,-0.032285,0.022198,0.108532,-0.108532
0.709994,-0.085305,-0.136056,0.061362,0.047503,0.014710,0.049685,-0.072956,0.134375,-0.033061,0.021007,0.108580,-0.108580
0.714994,-0.084358,-0.135636,0.062805,0.046423,0.014142,0.048056,-0.073456,0.136085,-0.031027,0.021356,0.108651,-0.108651
0.719994,-0.084120,-0.139233,0.063195,0.047560,0.014972,0.046041,-0.072286,0.139056,-0.032416,0.018913,0.108698,-0.108698
0.724994,-0.082698,-0.142271,0.062254,0.050186,0.014693,0.043007,-0.071202,0.139901,-0.032565,0.018561,0.108769,-0.108769
0.729994,-0.081491,-0.143743,0.064461,0.050666,0.013270,0.042665,-0.069006,0.140629,-0.034058,0.017071,0.108816,-0.108816
0.734994,-0.084287,-0.146918,0.061988,0.048535,0.014768,0.043238,-0.069204,0.141599,-0.032147,0.018650,0.108886,-0.108886
