time, Quad1.Est.E.X, Quad2.Est.E.X, Quad3.Est.E.X, Quad4.Est.E.X, Quad5.Est.E.X, Quad6.Est.E.X, Quad7.Est.E.X, Quad8.Est.E.X, Quad9.Est.E.X, Quad10.Est.E.X, Quad1.Est.S.X, Quad1.Est.S.X
0.544997,-0.030620,-0.014208,0.022299,0.011915,0.008235,0.001674,-0.018079,0.020541,-0.004803,-0.000384,0.120338,-0.120338
0.549996,-0.031000,-0.014572,0.022606,0.012112,0.008319,0.001844,-0.018307,0.020929,-0.004933,-0.000340,0.120574,-0.120574
0.554996,-0.031563,-0.015130,0.023077,0.012396,0.008432,0.002085,-0.018650,0.021534,-0.005145,-0.000273,0.120930,-0.120930
0.559996,-0.031928,-0.015513,0.023383,0.012587,0.008506,0.002251,-0.018878,0.021947,-0.005280,-0.000224,0.121168,-0.121168
0.564996,-0.032483,-0.016116,0.023828,0.012885,0.008607,0.002517,-0.019231,0.022573,-0.005489,-0.000165,0.121528,-0.121528
0.569996,-0.032864,-0.016520,0.024126,0.013084,0.008673,0.002696,-0.019469,0.022985,-0.005628,-0.000122,0.121769,-0.121769
0.574996,-0.033428,-0.017120,0.024563,0.013379,0.008780,0.002955,-0.019823,0.023607,-0.005837,-0.000053,0.122133,-0.122133
0.579996,-0.033800,-0.017522,0.024845,0.013579,0.008849,0.003124,-0.020054,0.024019,-0.005975,-0.000001,0.122377,-0.122377
0.584996,-0.034361,-0.018145,0.025271,0.013869,0.008971,0.003382,-0.020401,0.024659,-0.006192,0.000083,0.122744,-0.122744
0.589996,-0.034741,-0.018565,0.025560,0.014063,0.009049,0.003559,-0.020634,0.025081,-0.006334,0.000131,0.122990,-0.122990
0.594996,-0.035303,-0.019201,0.025997,0.014343,0.009160,0.003829,-0.020988,0.025740,-0.006543,0.000213,0.123361,-0.123361
0.599996,-0.035684,-0.019632,0.026280,0.014537,0.009240,0.004013,-0.021222,0.026194,-0.006689,0.000262,0.123610,-0.123610
0.604996,-0.036257,-0.020286,0.026696,0.014838,0.009359,0.004297,-0.021556,0.026885,-0.006908,0.000341,0.123985,-0.123985
0.609996,-0.036631,-0.020730,0.026970,0.015040,0.009431,0.004495,-0.021785,0.027351,-0.007054,0.000404,0.124236,-0.124236
0.614996,-0.037188,-0.021393,0.027372,0.015349,0.009551,0.004793,-0.022139,0.028058,-0.007268,0.000494,0.124615,-0.124615
0.619996,-0.037557,-0.021840,0.027640,0.015559,0.009630,0.004994,-0.022383,0.028528,-0.007405,0.000549,0.124868,-0.124868
0.624996,-0.038113,-0.022516,0.028045,0.015889,0.009736,0.005308,-0.022758,0.029231,-0.007607,0.000630,0.125250,-0.125250
0.629995,-0.038481,-0.022980,0.028320,0.016098,0.009800,0.005509,-0.023013,0.029694,-0.007734,0.000691,0.125506,-0.125506
0.634995,-0.039020,-0.023678,0.028743,0.016416,0.009893,0.005801,-0.023401,0.030407,-0.007915,0.000786,0.125892,-0.125892
0.639995,-0.039372,-0.024145,0.029024,0.016621,0.009947,0.005999,-0.023669,0.030887,-0.008033,0.000858,0.126150,-0.126150
0.644995,-0.039909,-0.024852,0.029439,0.016929,0.010034,0.006307,-0.024054,0.031596,-0.008221,0.000978,0.126540,-0.126540
0.649995,-0.040264,-0.025332,0.029717,0.017126,0.010097,0.006523,-0.024312,0.032077,-0.008347,0.001058,0.126800,-0.126800
0.654995,-0.040810,-0.026075,0.030136,0.017410,0.010187,0.006853,-0.024705,0.032804,-0.008539,0.001185,0.127193,-0.127193
0.659995,-0.041175,-0.026580,0.030414,0.017599,0.010249,0.007068,-0.024963,0.033298,-0.008664,0.001275,0.127456,-0.127456
0.664995,-0.041715,-0.027342,0.030824,0.017886,0.010332,0.007384,-0.025350,0.034045,-0.008869,0.001404,0.127852,-0.127852
0.669995,-0.042068,-0.027849,0.031096,0.018080,0.010388,0.007579,-0.025616,0.034547,-0.009008,0.001485,0.128118,-0.128118
0.674995,-0.042602,-0.028622,0.031490,0.018366,0.010476,0.007872,-0.026025,0.035303,-0.009216,0.001605,0.128517,-0.128517
0.679995,-0.042960,-0.029142,0.031748,0.018557,0.010535,0.008071,-0.026292,0.035805,-0.009361,0.001689,0.128785,-0.128785
0.684995,-0.043502,-0.029923,0.032131,0.018839,0.010616,0.008377,-0.026692,0.036562,-0.009575,0.001811,0.129188,-0.129188
0.689995,-0.043859,-0.030441,0.032378,0.019027,0.010668,0.008579,-0.026955,0.037075,-0.009716,0.001894,0.129458,-0.129458
0.694995,-0.044397,-0.031217,0.032753,0.019305,0.010741,0.008873,-0.027356,0.037853,-0.009922,0.002020,0.129864,-0.129864
0.699995,-0.044757,-0.031750,0.032996,0.019496,0.010789,0.009075,-0.027628,0.038382,-0.010058,0.002114,0.130136,-0.130136
0.704994,-0.045285,-0.032560,0.033355,0.019789,0.010864,0.009386,-0.028053,0.039177,-0.010255,0.002258,0.130545,-0.130545
0.709994,-0.045629,-0.033102,0.033603,0.019980,0.010916,0.009590,-0.028342,0.039717,-0.010383,0.002350,0.130820,-0.130820
0.714994,-0.046134,-0.033918,0.033976,0.020262,0.011004,0.009887,-0.028776,0.040526,-0.010578,0.002475,0.131233,-0.131233
0.719994,-0.046469,-0.034461,0.034226,0.020450,0.011061,0.010078,-0.029070,0.041073,-0.010704,0.002556,0.131509,-0.131509
0.724994,-0.046975,-0.035309,0.034599,0.020739,0.011151,0.010345,-0.029502,0.041915,-0.010895,0.002664,0.131925,-0.131925
0.729994,-0.047305,-0.035876,0.034849,0.020942,0.011208,0.010519,-0.029786,0.042479,-0.011031,0.002736,0.132204,-0.132204
0.734994,-0.047796,-0.036746,0.035235,0.021238,0.011287,0.010776,-0.030198,0.043325,-0.011234,0.002840,0.132623,-0.132623
0.739994,-0.048133,-0.037334,0.035483,0.021435,0.011349,0.010950,-0.030472,0.043890,-0.011364,0.002916,0.132903,-0.132903
0.744994,-0.048647,-0.038233,0.035852,0.021726,0.011448,0.011217,-0.030878,0.044740,-0.011575,0.003029,0.133326,-0.133326
0.749994,-0.048992,-0.038839,0.036090,0.021913,0.011513,0.011398,-0.031148,0.045308,-0.011710,0.003109,0.133608,-0.133608
0.754994,-0.049513,-0.039754,0.036443,0.022201,0.011610,0.011674,-0.031553,0.046163,-0.011913,0.003224,0.134034,-0.134034
0.759994,-0.049869,-0.040365,0.036680,0.022390,0.011679,0.011860,-0.031829,0.046728,-0.012052,0.003305,0.134319,-0.134319
0.764994,-0.050412,-0.041283,0.037039,0.022667,0.011801,0.012140,-0.032267,0.047581,-0.012257,0.003424,0.134747,-0.134747
0.769994,-0.050784,-0.041896,0.037285,0.022855,0.011882,0.012323,-0.032571,0.048157,-0.012388,0.003507,0.135034,-0.135034
0.774994,-0.051350,-0.042832,0.037669,0.023142,0.012024,0.012602,-0.033040,0.049015,-0.012578,0.003635,0.135466,-0.135466
0.005000,nan,0.000262,0.000000
0.010000,0.169616,0.036314,0.000003
0.015000,nan,0.034259,0.000003
0.020000,-0.175517,-0.004589,-0.000001
0.025000,nan,-0.004449,-0.000012
0.030000,-0.000679,-0.004476,-0.000025
0.035000,nan,-0.006143,-0.000038
0.040000,0.021181,-0.002175,-0.000049
0.045000,nan,-0.001504,-0.000061
0.050000,0.017046,-0.000016,-0.000069
0.055000,nan,0.001709,-0.000070
0.060000,-0.127875,-0.014455,-0.000063
0.065000,nan,-0.017300,-0.000048
0.070000,0.030585,-0.011973,-0.000023
0.075000,nan,-0.009816,0.000013
0.080000,0.147530,0.005797,0.000055
0.085000,nan,0.009410,0.000096
0.090000,0.147428,0.024023,0.000133
0.095000,nan,0.023237,0.000167
0.100000,0.084088,0.028220,0.000201
0.105000,nan,0.028311,0.000235
0.110000,-0.057428,0.018948,0.000273
0.115000,nan,0.019262,0.000313
0.120000,-0.058331,0.012945,0.000358
0.125000,nan,0.014758,0.000409
0.130000,0.051062,0.018354,0.000465
0.135000,nan,0.015223,0.000528
0.140000,0.103564,0.023972,0.000596
0.145000,nan,0.022055,0.000662
0.150000,0.022727,0.021470,0.000726
0.155000,nan,0.018660,0.000784
0.160000,-0.116030,0.007994,0.000835
0.165000,nan,0.007568,0.000883
0.170000,0.059672,0.013052,0.000927
0.175000,nan,0.012770,0.000968
0.180000,0.106727,0.020074,0.001007
0.185000,nan,0.017106,0.001046
0.190000,0.013950,0.014995,0.001088
0.195000,nan,0.014435,0.001131
0.200000,-0.080427,0.007199,0.001177
0.205000,nan,0.007418,0.001226
0.210000,-0.103022,-0.001279,0.001279
0.215000,nan,-0.002404,0.001333
0.220000,-0.043441,-0.006524,0.001390
0.225000,nan,-0.004406,0.001450
0.230000,0.067969,0.001827,0.001514
0.235000,nan,0.003329,0.001581
0.240000,-0.146029,-0.008027,0.001648
0.245000,nan,-0.005176,0.001714
0.250000,0.046354,-0.000646,0.001777
0.255000,nan,-0.005872,0.001834
0.260000,0.205163,0.008605,0.001890
0.265000,nan,0.010565,0.001944
0.270000,-0.024382,0.010992,0.001993
0.275000,nan,0.011680,0.002040
0.280000,-0.074479,0.005511,0.002085
0.285000,nan,0.005324,0.002128
0.290000,-0.020686,0.003367,0.002171
0.295000,nan,0.003691,0.002212
0.300000,-0.034975,0.001968,0.002251
0.305000,nan,0.004348,0.002288
0.310000,-0.125552,-0.006124,0.002324
0.314999,nan,-0.005416,0.002357
0.319999,0.148390,0.007267,0.002391
0.324999,nan,0.008830,0.002425
0.329999,0.076054,0.012701,0.002458
0.334999,nan,0.014049,0.002491
0.339999,0.052611,0.016876,0.002525
0.344999,nan,0.016568,0.002561
0.349999,0.004789,0.014482,0.002595
0.354999,nan,0.013662,0.002625
0.359999,-0.060405,0.008480,0.002654
0.364999,nan,0.007628,0.002684
0.369999,-0.048020,0.004673,0.002712
0.374999,nan,0.003153,0.002741
0.379999,0.204203,0.018664,0.002770
0.384999,nan,0.017537,0.002801
0.389999,0.021103,0.020565,0.002831
0.394998,nan,0.017336,0.002860
0.399998,0.078678,0.018933,0.002887
0.404998,nan,0.021500,0.002911
0.409998,-0.045029,0.017311,0.002931
0.414998,nan,0.019201,0.002942
0.419998,-0.008339,0.015825,0.002947
0.424998,nan,0.016842,0.002945
0.429998,-0.263760,-0.005338,0.002938
0.434998,nan,-0.006804,0.002928
0.439998,0.015720,-0.004344,0.002920
0.444998,nan,-0.004081,0.002914
0.449998,-0.145654,-0.015190,0.002911
0.454998,nan,-0.017545,0.002908
0.459998,0.035829,-0.014138,0.002904
0.464998,nan,-0.015168,0.002894
0.469997,0.223641,0.006078,0.002879
0.474997,nan,0.008956,0.002863
0.479997,-0.309440,-0.015334,0.002849
0.484997,nan,-0.014361,0.002844
0.489997,0.076900,-0.006386,0.002844
0.494997,nan,-0.003198,0.002851
0.499997,-0.149503,-0.014167,0.002868
0.504997,nan,-0.015149,0.002891
0.509997,0.180181,-0.001326,0.002920
0.514997,nan,-0.003705,0.002952
0.519997,-0.004549,-0.005320,0.002986
0.524997,nan,-0.006575,0.003022
0.529997,-0.005876,-0.005881,0.003055
0.534997,nan,-0.004572,0.003082
0.539997,0.064584,0.002263,0.003103
0.544997,nan,0.001406,0.003118
0.549996,0.143362,0.011945,0.003132
0.554996,nan,0.009797,0.003149
0.559996,-0.093383,0.001553,0.003160
0.564996,nan,0.001526,0.003163
0.569996,0.164327,0.015335,0.003157
0.574996,nan,0.018164,0.003142
0.579996,0.003788,0.016586,0.003125
0.584996,nan,0.015321,0.003108
0.589996,0.023208,0.015090,0.003093
0.594996,nan,0.012977,0.003082
0.599996,0.102034,0.020983,0.003074
0.604996,nan,0.020507,0.003070
0.609996,0.035824,0.022824,0.003065
